"","year","month","date","wave","mort_ratio_dialyse_allcause","mort_ratio_dialyse_covid","mort_ratio_dialyse_cancer_cvd","mort_ratio_transplant_allcause","mort_ratio_transplant_covid","mort_ratio_transplant_cancer","mort_ratio_dialyse_allcause","obs_dialyse_allcause","exp_dialyse_allcause_O_E","smr_dialyse_allcause_O_E","ci_low_dialyse_allcause_O_E","ci_high_dialyse_allcause_O_E","ci_diff_dialyse_allcause_O_E","exp_dialyse_allcause_E","smr_dialyse_allcause_E","ci_low_dialyse_allcause_E","ci_high_dialyse_allcause_E","ci_diff_dialyse_allcause_E","exp_dialyse_allcause_O","smr_dialyse_allcause_O","ci_low_dialyse_allcause_O","ci_high_dialyse_allcause_O","ci_diff_dialyse_allcause_O","mort_ratio_dialyse_covid","obs_dialyse_covid","exp_dialyse_covid_O_E","smr_dialyse_covid_O_E","ci_low_dialyse_covid_O_E","ci_high_dialyse_covid_O_E","ci_diff_dialyse_covid_O_E","exp_dialyse_covid_E","smr_dialyse_covid_E","ci_low_dialyse_covid_E","ci_high_dialyse_covid_E","ci_diff_dialyse_covid_E","exp_dialyse_covid_O","smr_dialyse_covid_O","ci_low_dialyse_covid_O","ci_high_dialyse_covid_O","ci_diff_dialyse_covid_O","mort_ratio_dialyse_cancer_cvd","obs_dialyse_cancer_cvd","exp_dialyse_cancer_cvd_O_E","smr_dialyse_cancer_cvd_O_E","ci_low_dialyse_cancer_cvd_O_E","ci_high_dialyse_cancer_cvd_O_E","ci_diff_dialyse_cancer_cvd_O_E","exp_dialyse_cancer_cvd_E","smr_dialyse_cancer_cvd_E","ci_low_dialyse_cancer_cvd_E","ci_high_dialyse_cancer_cvd_E","ci_diff_dialyse_cancer_cvd_E","exp_dialyse_cancer_cvd_O","smr_dialyse_cancer_cvd_O","ci_low_dialyse_cancer_cvd_O","ci_high_dialyse_cancer_cvd_O","ci_diff_dialyse_cancer_cvd_O","mort_ratio_transplant_allcause","obs_transplant_allcause","exp_transplant_allcause_O_E","smr_transplant_allcause_O_E","ci_low_transplant_allcause_O_E","ci_high_transplant_allcause_O_E","ci_diff_transplant_allcause_O_E","exp_transplant_allcause_E","smr_transplant_allcause_E","ci_low_transplant_allcause_E","ci_high_transplant_allcause_E","ci_diff_transplant_allcause_E","exp_transplant_allcause_O","smr_transplant_allcause_O","ci_low_transplant_allcause_O","ci_high_transplant_allcause_O","ci_diff_transplant_allcause_O","mort_ratio_transplant_covid","obs_transplant_covid","exp_transplant_covid_O_E","smr_transplant_covid_O_E","ci_low_transplant_covid_O_E","ci_high_transplant_covid_O_E","ci_diff_transplant_covid_O_E","exp_transplant_covid_E","smr_transplant_covid_E","ci_low_transplant_covid_E","ci_high_transplant_covid_E","ci_diff_transplant_covid_E","exp_transplant_covid_O","smr_transplant_covid_O","ci_low_transplant_covid_O","ci_high_transplant_covid_O","ci_diff_transplant_covid_O","obs_transplant_cancer_cvd","exp_transplant_cancer_cvd_O_E","smr_transplant_cancer_cvd_O_E","ci_low_transplant_cancer_cvd_O_E","ci_high_transplant_cancer_cvd_O_E","ci_diff_transplant_cancer_cvd_O_E","exp_transplant_cancer_cvd_E","smr_transplant_cancer_cvd_E","ci_low_transplant_cancer_cvd_E","ci_high_transplant_cancer_cvd_E","ci_diff_transplant_cancer_cvd_E","exp_transplant_cancer_cvd_O","smr_transplant_cancer_cvd_O","ci_low_transplant_cancer_cvd_O","ci_high_transplant_cancer_cvd_O","ci_diff_transplant_cancer_cvd_O"
"1",2016,1,2016-01-01,"no covid period",0.0119453924914676,NA,0.00426621160409556,0.00275330396475771,NA,NA,0.0119453924914676,70,27.6801544910818,2.57,1.98,3.14,0.579,27.6801544910818,2.57,2.48,2.58,0.051,27.6801544910818,2.57,1.91,3.11,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00426621160409556,25,15.667126790312,1.53,0.96,2.14,0.593,15.667126790312,1.53,1.48,1.56,0.042,15.667126790312,1.53,0.96,2.17,0.606,0.00275330396475771,20,7.50019656281405,2.8,1.72,3.96,1.116,7.50019656281405,2.8,2.7,2.83,0.063,7.50019656281405,2.8,1.6,3.87,1.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2016,2,2016-02-01,"no covid period",0.0135869565217391,NA,0.00509510869565217,0.00274085240509798,NA,0.00137042620254899,0.0135869565217391,80,25.436653284317,3.15,2.46,3.8,0.671,25.436653284317,3.15,3.03,3.17,0.066,25.436653284317,3.15,2.44,3.77,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00509510869565217,30,14.1151949131619,2.27,1.46,3.04,0.79,14.1151949131619,2.27,2.18,2.31,0.065,14.1151949131619,2.27,1.49,3.05,0.779,0.00274085240509798,20,7.07307855841784,2.97,1.8,4.34,1.269,7.07307855841784,2.97,2.86,3,0.071,7.07307855841784,2.97,1.84,4.24,1.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.35843890665446,2.52,1.16,4.17,1.504,4.35843890665446,2.52,2.43,2.59,0.079,4.35843890665446,2.52,1.15,4.13,1.491
"3",2016,3,2016-03-01,"no covid period",0.0179028132992327,NA,0.00596760443307758,0.00204248366013072,NA,NA,0.0179028132992327,105,26.295657182522,3.99,3.2,4.64,0.719,26.295657182522,3.99,3.86,4,0.075,26.295657182522,3.99,3.19,4.72,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00596760443307758,35,14.8843640376451,2.49,1.61,3.25,0.822,14.8843640376451,2.49,2.39,2.53,0.067,14.8843640376451,2.49,1.68,3.22,0.773,0.00204248366013072,15,7.40675269119452,1.89,0.94,2.97,1.013,7.40675269119452,1.89,1.84,1.93,0.047,7.40675269119452,1.89,0.95,2.84,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2016,4,2016-04-01,"no covid period",0.0144557823129252,NA,0.00595238095238095,0.00271739130434783,NA,NA,0.0144557823129252,85,22.5785693528886,3.76,2.96,4.51,0.771,22.5785693528886,3.76,3.63,3.79,0.08,22.5785693528886,3.76,2.92,4.52,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00595238095238095,35,12.8744715318885,2.87,2.02,3.79,0.889,12.8744715318885,2.87,2.75,2.91,0.078,12.8744715318885,2.87,1.94,3.73,0.893,0.00271739130434783,20,6.58809374127737,2.73,1.51,3.83,1.162,6.58809374127737,2.73,2.61,2.75,0.067,6.58809374127737,2.73,1.52,3.8,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2016,5,2016-05-01,"no covid period",0.0161647098859963,NA,0.00765696784073507,0.00270965993767782,NA,NA,0.0161647098859963,95,21.5680857611257,4.4,3.47,5.18,0.857,21.5680857611257,4.4,4.24,4.43,0.094,21.5680857611257,4.4,3.57,5.29,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00765696784073507,45,12.5101312910258,3.52,2.46,4.56,1.049,12.5101312910258,3.52,3.36,3.56,0.097,12.5101312910258,3.52,2.48,4.56,1.039,0.00270965993767782,20,6.44238541519089,2.79,1.68,4.19,1.256,6.44238541519089,2.79,2.7,2.83,0.066,6.44238541519089,2.79,1.55,4.04,1.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2016,6,2016-06-01,"no covid period",0.0110525420846795,NA,0.00425097772487672,0.00337336391849953,NA,0.00134934556739981,0.0110525420846795,65,18.8267723054462,3.35,2.5,4.11,0.805,18.8267723054462,3.35,3.22,3.36,0.067,18.8267723054462,3.35,2.55,4.09,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00425097772487672,25,11.1039845934518,2.16,1.37,2.96,0.796,11.1039845934518,2.16,2.07,2.2,0.063,11.1039845934518,2.16,1.35,2.97,0.811,0.00337336391849953,25,6.18966359746105,3.72,2.23,5.17,1.47,6.18966359746105,3.72,3.5,3.7,0.098,6.18966359746105,3.72,2.26,5.17,1.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.99584813888803,3,1.27,4.49,1.607,3.99584813888803,3,2.81,2.99,0.094,3.99584813888803,3,1.5,4.75,1.627
"7",2016,7,2016-07-01,"no covid period",0.0144410465511383,NA,0.00679578661230037,0.00134517083669626,NA,NA,0.0144410465511383,85,18.767971074066,4.53,3.59,5.43,0.923,18.767971074066,4.53,4.34,4.53,0.098,18.767971074066,4.53,3.57,5.33,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00679578661230037,40,10.8180455775194,3.61,2.58,4.7,1.059,10.8180455775194,3.61,3.44,3.64,0.102,10.8180455775194,3.61,2.5,4.53,1.017,0.00134517083669626,10,6.18931523825717,1.78,0.8,2.79,0.997,6.18931523825717,1.78,1.7,1.8,0.046,6.18931523825717,1.78,0.81,2.75,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2016,8,2016-08-01,"no covid period",0.0145051194539249,NA,0.00511945392491468,0.00267701780216838,NA,NA,0.0145051194539249,85,17.3151407270413,5.02,3.93,5.91,0.993,17.3151407270413,5.02,4.83,5.04,0.105,17.3151407270413,5.02,3.93,5.89,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00511945392491468,30,9.90073841576808,3.13,2.07,4.26,1.094,9.90073841576808,3.13,3,3.17,0.086,9.90073841576808,3.13,2.12,4.24,1.061,0.00267701780216838,20,6.14911384567793,3.09,1.75,4.68,1.465,6.14911384567793,3.09,2.98,3.15,0.083,6.14911384567793,3.09,1.79,4.55,1.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2016,9,2016-09-01,"no covid period",0.0110883657454794,NA,0.0042647560559536,0.00266489007328448,NA,NA,0.0110883657454794,65,16.3718528787099,3.85,2.99,4.67,0.836,16.3718528787099,3.85,3.72,3.89,0.086,16.3718528787099,3.85,2.93,4.76,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042647560559536,25,9.62384047314548,2.6,1.67,3.65,0.989,9.62384047314548,2.6,2.51,2.65,0.071,9.62384047314548,2.6,1.56,3.64,1.039,0.00266489007328448,20,6.08620396392118,3.29,1.81,4.59,1.39,6.08620396392118,3.29,3.08,3.25,0.084,6.08620396392118,3.29,1.81,4.44,1.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016,10,2016-10-01,"no covid period",0.0153139356814701,NA,0.00510464522715671,0.00264795445518337,NA,0.00132397722759168,0.0153139356814701,90,17.8769272361598,5.09,4,6.16,1.079,17.8769272361598,5.09,4.91,5.12,0.105,17.8769272361598,5.09,4.03,5.99,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00510464522715671,30,10.3294885970322,3,1.97,3.97,1,10.3294885970322,3,2.87,3.04,0.082,10.3294885970322,3,2.03,4.07,1.017,0.00264795445518337,20,6.51648134978911,3.38,1.97,4.68,1.354,6.51648134978911,3.38,3.18,3.35,0.085,6.51648134978911,3.38,1.99,4.6,1.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.1892868162188,2.63,1.19,4.14,1.474,4.1892868162188,2.63,2.44,2.59,0.077,4.1892868162188,2.63,1.19,4.06,1.432
