"","year","month","date","wave","mort_ratio_dialyse_allcause","mort_ratio_dialyse_covid","mort_ratio_dialyse_cancer_cvd","mort_ratio_transplant_allcause","mort_ratio_transplant_covid","mort_ratio_transplant_cancer","mort_ratio_dialyse_allcause","obs_dialyse_allcause","exp_dialyse_allcause_O_E","smr_dialyse_allcause_O_E","ci_low_dialyse_allcause_O_E","ci_high_dialyse_allcause_O_E","ci_diff_dialyse_allcause_O_E","exp_dialyse_allcause_E","smr_dialyse_allcause_E","ci_low_dialyse_allcause_E","ci_high_dialyse_allcause_E","ci_diff_dialyse_allcause_E","exp_dialyse_allcause_O","smr_dialyse_allcause_O","ci_low_dialyse_allcause_O","ci_high_dialyse_allcause_O","ci_diff_dialyse_allcause_O","mort_ratio_dialyse_covid","obs_dialyse_covid","exp_dialyse_covid_O_E","smr_dialyse_covid_O_E","ci_low_dialyse_covid_O_E","ci_high_dialyse_covid_O_E","ci_diff_dialyse_covid_O_E","exp_dialyse_covid_E","smr_dialyse_covid_E","ci_low_dialyse_covid_E","ci_high_dialyse_covid_E","ci_diff_dialyse_covid_E","exp_dialyse_covid_O","smr_dialyse_covid_O","ci_low_dialyse_covid_O","ci_high_dialyse_covid_O","ci_diff_dialyse_covid_O","mort_ratio_dialyse_cancer_cvd","obs_dialyse_cancer_cvd","exp_dialyse_cancer_cvd_O_E","smr_dialyse_cancer_cvd_O_E","ci_low_dialyse_cancer_cvd_O_E","ci_high_dialyse_cancer_cvd_O_E","ci_diff_dialyse_cancer_cvd_O_E","exp_dialyse_cancer_cvd_E","smr_dialyse_cancer_cvd_E","ci_low_dialyse_cancer_cvd_E","ci_high_dialyse_cancer_cvd_E","ci_diff_dialyse_cancer_cvd_E","exp_dialyse_cancer_cvd_O","smr_dialyse_cancer_cvd_O","ci_low_dialyse_cancer_cvd_O","ci_high_dialyse_cancer_cvd_O","ci_diff_dialyse_cancer_cvd_O","mort_ratio_transplant_allcause","obs_transplant_allcause","exp_transplant_allcause_O_E","smr_transplant_allcause_O_E","ci_low_transplant_allcause_O_E","ci_high_transplant_allcause_O_E","ci_diff_transplant_allcause_O_E","exp_transplant_allcause_E","smr_transplant_allcause_E","ci_low_transplant_allcause_E","ci_high_transplant_allcause_E","ci_diff_transplant_allcause_E","exp_transplant_allcause_O","smr_transplant_allcause_O","ci_low_transplant_allcause_O","ci_high_transplant_allcause_O","ci_diff_transplant_allcause_O","mort_ratio_transplant_covid","obs_transplant_covid","exp_transplant_covid_O_E","smr_transplant_covid_O_E","ci_low_transplant_covid_O_E","ci_high_transplant_covid_O_E","ci_diff_transplant_covid_O_E","exp_transplant_covid_E","smr_transplant_covid_E","ci_low_transplant_covid_E","ci_high_transplant_covid_E","ci_diff_transplant_covid_E","exp_transplant_covid_O","smr_transplant_covid_O","ci_low_transplant_covid_O","ci_high_transplant_covid_O","ci_diff_transplant_covid_O","obs_transplant_cancer_cvd","exp_transplant_cancer_cvd_O_E","smr_transplant_cancer_cvd_O_E","ci_low_transplant_cancer_cvd_O_E","ci_high_transplant_cancer_cvd_O_E","ci_diff_transplant_cancer_cvd_O_E","exp_transplant_cancer_cvd_E","smr_transplant_cancer_cvd_E","ci_low_transplant_cancer_cvd_E","ci_high_transplant_cancer_cvd_E","ci_diff_transplant_cancer_cvd_E","exp_transplant_cancer_cvd_O","smr_transplant_cancer_cvd_O","ci_low_transplant_cancer_cvd_O","ci_high_transplant_cancer_cvd_O","ci_diff_transplant_cancer_cvd_O"
"1",2016,1,2016-01-01,"no covid period",0.0119453924914676,NA,0.00426621160409556,NA,NA,NA,0.0119453924914676,70,27.711677337903,2.56,1.91,3.11,0.604,27.711677337903,2.56,2.47,2.58,0.052,27.711677337903,2.56,1.95,3.07,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00426621160409556,25,15.6779944801313,1.53,0.94,2.12,0.591,15.6779944801313,1.53,1.48,1.56,0.042,15.6779944801313,1.53,0.96,2.1,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2016,2,2016-02-01,"no covid period",0.0135869565217391,NA,0.00509510869565217,NA,NA,NA,0.0135869565217391,80,25.4589273653044,3.14,2.45,3.74,0.643,25.4589273653044,3.14,3.04,3.17,0.064,25.4589273653044,3.14,2.44,3.81,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00509510869565217,30,14.1249070853152,2.27,1.5,3.01,0.753,14.1249070853152,2.27,2.18,2.3,0.063,14.1249070853152,2.27,1.49,3.04,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2016,3,2016-03-01,"no covid period",0.0179028132992327,NA,0.00596760443307758,NA,NA,NA,0.0179028132992327,105,26.3064318636843,3.99,3.21,4.63,0.71,26.3064318636843,3.99,3.85,4.01,0.078,26.3064318636843,3.99,3.23,4.71,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00596760443307758,35,14.8902475116171,2.48,1.71,3.27,0.781,14.8902475116171,2.48,2.39,2.53,0.07,14.8902475116171,2.48,1.68,3.29,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2016,4,2016-04-01,"no covid period",0.0144557823129252,NA,0.00595238095238095,NA,NA,NA,0.0144557823129252,85,22.5951677683166,3.76,2.92,4.48,0.778,22.5951677683166,3.76,3.62,3.79,0.083,22.5951677683166,3.76,3.01,4.51,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00595238095238095,35,12.882487716536,2.87,2,3.76,0.879,12.882487716536,2.87,2.75,2.91,0.08,12.882487716536,2.87,2.02,3.8,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2016,5,2016-05-01,"no covid period",0.0161647098859963,NA,0.00765696784073507,NA,NA,NA,0.0161647098859963,95,21.5830978561434,4.4,3.51,5.14,0.817,21.5830978561434,4.4,4.24,4.43,0.093,21.5830978561434,4.4,3.47,5.19,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00765696784073507,45,12.5146190969975,3.52,2.5,4.53,1.017,12.5146190969975,3.52,3.37,3.55,0.094,12.5146190969975,3.52,2.48,4.55,1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2016,6,2016-06-01,"no covid period",0.0110525420846795,NA,0.00425097772487672,0.00220783043862231,NA,NA,0.0110525420846795,65,18.8401271375012,3.34,2.52,4.06,0.771,18.8401271375012,3.34,3.21,3.36,0.076,18.8401271375012,3.34,2.55,4.03,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00425097772487672,25,11.1123717219521,2.16,1.35,3.01,0.83,11.1123717219521,2.16,2.07,2.2,0.062,11.1123717219521,2.16,1.35,2.97,0.81,0.00220783043862231,15,5.37948532475606,2.79,1.49,4.02,1.265,5.37948532475606,2.79,2.64,2.78,0.071,5.37948532475606,2.79,1.49,4.09,1.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2016,7,2016-07-01,"no covid period",0.0144410465511383,NA,0.00679578661230037,NA,NA,NA,0.0144410465511383,85,18.7730482975236,4.53,3.56,5.32,0.878,18.7730482975236,4.53,4.34,4.54,0.097,18.7730482975236,4.53,3.51,5.38,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00679578661230037,40,10.8224837297261,3.6,2.52,4.68,1.082,10.8224837297261,3.6,3.44,3.63,0.097,10.8224837297261,3.6,2.49,4.62,1.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2016,8,2016-08-01,"no covid period",0.0145051194539249,NA,0.00511945392491468,0.00145645208272648,NA,NA,0.0145051194539249,85,17.3228014056079,5.02,3.89,5.97,1.04,17.3228014056079,5.02,4.83,5.04,0.104,17.3228014056079,5.02,4.04,5.95,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00511945392491468,30,9.90490418449566,3.13,2.03,4.15,1.062,9.90490418449566,3.13,3,3.18,0.089,9.90490418449566,3.13,2.12,4.24,1.06,0.00145645208272648,10,5.52044712162002,2.17,1.08,3.35,1.135,5.52044712162002,2.17,2.11,2.23,0.057,5.52044712162002,2.17,1.09,3.44,1.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2016,9,2016-09-01,"no covid period",0.0110883657454794,NA,0.0042647560559536,0.00217170985956276,NA,NA,0.0110883657454794,65,16.3767555305534,3.85,2.85,4.78,0.966,16.3767555305534,3.85,3.72,3.89,0.087,16.3767555305534,3.85,2.93,4.82,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042647560559536,25,9.6245213418502,2.6,1.65,3.67,1.014,9.6245213418502,2.6,2.5,2.65,0.076,9.6245213418502,2.6,1.66,3.64,0.987,0.00217170985956276,15,5.48172625756774,2.37,1.11,3.6,1.245,5.48172625756774,2.37,2.15,2.27,0.059,5.48172625756774,2.37,1.09,3.47,1.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016,10,2016-10-01,"no covid period",0.0153139356814701,NA,0.00510464522715671,0.00215455328928469,NA,NA,0.0153139356814701,90,17.8804784308204,5.09,3.99,6.04,1.025,17.8804784308204,5.09,4.91,5.12,0.106,17.8804784308204,5.09,4.03,5.98,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00510464522715671,30,10.3308985465781,3,1.98,4.02,1.021,10.3308985465781,3,2.88,3.03,0.079,10.3308985465781,3,1.94,4.07,1.065,0.00215455328928469,15,5.89710206331607,2.88,1.51,4.1,1.291,5.89710206331607,2.88,2.68,2.83,0.076,5.89710206331607,2.88,1.53,4.07,1.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2016,11,2016-11-01,"no covid period",0.0153348100187425,NA,0.00596353722951099,0.00214041095890411,NA,NA,0.0153348100187425,90,17.6405434577926,5.05,4.02,6.03,1.006,17.6405434577926,5.05,4.85,5.05,0.1,17.6405434577926,5.05,4.02,5.95,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00596353722951099,35,10.0159592481746,3.29,2.2,4.35,1.075,10.0159592481746,3.29,3.15,3.33,0.088,10.0159592481746,3.29,2.3,4.39,1.048,0.00214041095890411,15,5.68925703848455,2.64,1.4,3.98,1.289,5.68925703848455,2.64,2.52,2.66,0.07,5.68925703848455,2.64,1.41,3.87,1.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2016,12,2016-12-01,"no covid period",0.0188002050931465,NA,0.00683643821568963,0.00212344280860702,NA,NA,0.0188002050931465,110,19.4159324128017,5.67,4.57,6.52,0.973,19.4159324128017,5.67,5.45,5.66,0.107,19.4159324128017,5.67,4.58,6.54,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00683643821568963,40,10.3603943838816,4.05,2.9,5.21,1.153,10.3603943838816,4.05,3.87,4.08,0.108,10.3603943838816,4.05,2.8,5.21,1.208,0.00212344280860702,15,6.36473799442299,2.36,1.22,3.51,1.145,6.36473799442299,2.36,2.25,2.37,0.059,6.36473799442299,2.36,1.26,3.46,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2017,1,2017-01-01,"no covid period",0.0188841201716738,NA,0.00772532188841202,0.00211148648648649,NA,NA,0.0188841201716738,110,33.4610945748564,3.32,2.72,3.93,0.606,33.4610945748564,3.32,3.22,3.34,0.062,33.4610945748564,3.32,2.69,3.89,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00772532188841202,45,17.1717602727291,2.5,1.78,3.23,0.722,17.1717602727291,2.5,2.41,2.55,0.068,17.1717602727291,2.5,1.86,3.2,0.67,0.00211148648648649,15,8.21701260099801,2.07,1.24,3.09,0.925,8.21701260099801,2.07,2.01,2.11,0.048,8.21701260099801,2.07,1.1,3.04,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2017,2,2017-02-01,"no covid period",0.0111933872912003,NA,0.00516617874978474,0.00210172341319882,NA,NA,0.0111933872912003,65,27.6350634087215,2.42,1.86,2.91,0.525,27.6350634087215,2.42,2.33,2.43,0.049,27.6350634087215,2.42,1.85,2.93,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00516617874978474,30,14.5748693376436,1.92,1.24,2.69,0.726,14.5748693376436,1.92,1.84,1.95,0.054,14.5748693376436,1.92,1.24,2.61,0.686,0.00210172341319882,15,7.17757472497308,1.95,1.1,2.87,0.888,7.17757472497308,1.95,1.89,1.98,0.046,7.17757472497308,1.95,0.98,2.93,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2017,3,2017-03-01,"no covid period",0.0172146668961956,NA,0.00602513341366845,0.00278396436525613,NA,0.00139198218262806,0.0172146668961956,100,25.2392191766742,3.88,3.08,4.61,0.769,25.2392191766742,3.88,3.73,3.89,0.079,25.2392191766742,3.88,3.09,4.52,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00602513341366845,35,14.2161271238645,2.39,1.64,3.15,0.756,14.2161271238645,2.39,2.27,2.41,0.069,14.2161271238645,2.39,1.62,3.1,0.739,0.00278396436525613,20,7.01604642409934,2.57,1.43,3.73,1.151,7.01604642409934,2.57,2.45,2.57,0.062,7.01604642409934,2.57,1.43,3.71,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.49307539484654,2.23,0.89,3.42,1.266,4.49307539484654,2.23,2.08,2.21,0.066,4.49307539484654,2.23,0.89,3.56,1.335
"16",2017,4,2017-04-01,"no covid period",0.0138026224982747,NA,0.00690131124913734,0.0027708506511499,NA,NA,0.0138026224982747,80,21.549925896922,3.62,2.81,4.28,0.736,21.549925896922,3.62,3.49,3.64,0.077,21.549925896922,3.62,2.83,4.32,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00690131124913734,40,12.526624583717,3.03,2.13,3.98,0.925,12.526624583717,3.03,2.91,3.08,0.084,12.526624583717,3.03,2.08,3.99,0.958,0.0027708506511499,20,6.53145602745129,2.76,1.53,3.98,1.226,6.53145602745129,2.76,2.63,2.77,0.069,6.53145602745129,2.76,1.53,3.98,1.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2017,5,2017-05-01,"no covid period",0.012075211316198,NA,0.00431257547007073,0.00345113197128658,NA,0.00138045278851463,0.012075211316198,70,21.989216876891,3.18,2.46,3.83,0.685,21.989216876891,3.18,3.05,3.18,0.065,21.989216876891,3.18,2.41,3.82,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00431257547007073,25,12.57880585041,1.99,1.18,2.72,0.768,12.57880585041,1.99,1.9,2.01,0.055,12.57880585041,1.99,1.27,2.78,0.755,0.00345113197128658,25,6.79027558993144,3.68,2.35,5.16,1.402,6.79027558993144,3.68,3.52,3.7,0.094,6.79027558993144,3.68,2.36,5.15,1.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.33280948219503,2.54,1.16,3.93,1.386,4.33280948219503,2.54,2.42,2.58,0.081,4.33280948219503,2.54,1.15,4.15,1.5
