"","year","month","date","wave","mort_ratio_dialyse_allcause","mort_ratio_dialyse_covid","mort_ratio_dialyse_cancer_cvd","mort_ratio_transplant_allcause","mort_ratio_transplant_covid","mort_ratio_transplant_cancer","mort_ratio_dialyse_allcause","obs_dialyse_allcause","exp_dialyse_allcause_O_E","smr_dialyse_allcause_O_E","ci_low_dialyse_allcause_O_E","ci_high_dialyse_allcause_O_E","ci_diff_dialyse_allcause_O_E","exp_dialyse_allcause_E","smr_dialyse_allcause_E","ci_low_dialyse_allcause_E","ci_high_dialyse_allcause_E","ci_diff_dialyse_allcause_E","exp_dialyse_allcause_O","smr_dialyse_allcause_O","ci_low_dialyse_allcause_O","ci_high_dialyse_allcause_O","ci_diff_dialyse_allcause_O","mort_ratio_dialyse_covid","obs_dialyse_covid","exp_dialyse_covid_O_E","smr_dialyse_covid_O_E","ci_low_dialyse_covid_O_E","ci_high_dialyse_covid_O_E","ci_diff_dialyse_covid_O_E","exp_dialyse_covid_E","smr_dialyse_covid_E","ci_low_dialyse_covid_E","ci_high_dialyse_covid_E","ci_diff_dialyse_covid_E","exp_dialyse_covid_O","smr_dialyse_covid_O","ci_low_dialyse_covid_O","ci_high_dialyse_covid_O","ci_diff_dialyse_covid_O","mort_ratio_dialyse_cancer_cvd","obs_dialyse_cancer_cvd","exp_dialyse_cancer_cvd_O_E","smr_dialyse_cancer_cvd_O_E","ci_low_dialyse_cancer_cvd_O_E","ci_high_dialyse_cancer_cvd_O_E","ci_diff_dialyse_cancer_cvd_O_E","exp_dialyse_cancer_cvd_E","smr_dialyse_cancer_cvd_E","ci_low_dialyse_cancer_cvd_E","ci_high_dialyse_cancer_cvd_E","ci_diff_dialyse_cancer_cvd_E","exp_dialyse_cancer_cvd_O","smr_dialyse_cancer_cvd_O","ci_low_dialyse_cancer_cvd_O","ci_high_dialyse_cancer_cvd_O","ci_diff_dialyse_cancer_cvd_O","mort_ratio_transplant_allcause","obs_transplant_allcause","exp_transplant_allcause_O_E","smr_transplant_allcause_O_E","ci_low_transplant_allcause_O_E","ci_high_transplant_allcause_O_E","ci_diff_transplant_allcause_O_E","exp_transplant_allcause_E","smr_transplant_allcause_E","ci_low_transplant_allcause_E","ci_high_transplant_allcause_E","ci_diff_transplant_allcause_E","exp_transplant_allcause_O","smr_transplant_allcause_O","ci_low_transplant_allcause_O","ci_high_transplant_allcause_O","ci_diff_transplant_allcause_O","mort_ratio_transplant_covid","obs_transplant_covid","exp_transplant_covid_O_E","smr_transplant_covid_O_E","ci_low_transplant_covid_O_E","ci_high_transplant_covid_O_E","ci_diff_transplant_covid_O_E","exp_transplant_covid_E","smr_transplant_covid_E","ci_low_transplant_covid_E","ci_high_transplant_covid_E","ci_diff_transplant_covid_E","exp_transplant_covid_O","smr_transplant_covid_O","ci_low_transplant_covid_O","ci_high_transplant_covid_O","ci_diff_transplant_covid_O","obs_transplant_cancer_cvd","exp_transplant_cancer_cvd_O_E","smr_transplant_cancer_cvd_O_E","ci_low_transplant_cancer_cvd_O_E","ci_high_transplant_cancer_cvd_O_E","ci_diff_transplant_cancer_cvd_O_E","exp_transplant_cancer_cvd_E","smr_transplant_cancer_cvd_E","ci_low_transplant_cancer_cvd_E","ci_high_transplant_cancer_cvd_E","ci_diff_transplant_cancer_cvd_E","exp_transplant_cancer_cvd_O","smr_transplant_cancer_cvd_O","ci_low_transplant_cancer_cvd_O","ci_high_transplant_cancer_cvd_O","ci_diff_transplant_cancer_cvd_O"
"1",2016,1,2016-01-01,"no covid period",0.0119453924914676,NA,0.00426621160409556,NA,NA,NA,0.0119453924914676,70,19.2391648269021,3.69,2.88,4.57,0.843,19.2391648269021,3.69,3.61,3.75,0.069,19.2391648269021,3.69,2.86,4.52,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00426621160409556,25,10.6177476144905,2.26,1.45,3.22,0.885,10.6177476144905,2.26,2.2,2.31,0.057,10.6177476144905,2.26,1.41,3.2,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2016,2,2016-02-01,"no covid period",0.0135869565217391,NA,0.00509510869565217,NA,NA,NA,0.0135869565217391,80,17.7807849135709,4.5,3.5,5.43,0.968,17.7807849135709,4.5,4.4,4.59,0.091,17.7807849135709,4.5,3.54,5.51,0.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00509510869565217,30,9.66490818646915,3.31,2.3,4.46,1.083,9.66490818646915,3.31,3.21,3.4,0.095,9.66490818646915,3.31,2.27,4.55,1.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2016,3,2016-03-01,"no covid period",0.0179028132992327,NA,0.00596760443307758,NA,NA,NA,0.0179028132992327,105,18.8671511016153,5.57,4.52,6.64,1.064,18.8671511016153,5.57,5.44,5.66,0.111,18.8671511016153,5.57,4.56,6.68,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00596760443307758,35,10.459475040407,3.54,2.45,4.86,1.203,10.459475040407,3.54,3.44,3.62,0.092,10.459475040407,3.54,2.49,4.68,1.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2016,4,2016-04-01,"no covid period",0.0144557823129252,NA,0.00595238095238095,NA,NA,NA,0.0144557823129252,85,16.8538580046792,5.04,4.02,6.04,1.006,16.8538580046792,5.04,4.93,5.13,0.104,16.8538580046792,5.04,4.09,6.11,1.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00595238095238095,35,9.40498908722686,3.93,2.75,5.2,1.221,9.40498908722686,3.93,3.82,4.04,0.112,9.40498908722686,3.93,2.76,5.21,1.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2016,5,2016-05-01,"no covid period",0.0161647098859963,NA,0.00765696784073507,NA,NA,NA,0.0161647098859963,95,16.724447076305,5.68,4.59,6.86,1.139,16.724447076305,5.68,5.56,5.79,0.115,16.724447076305,5.68,4.54,6.82,1.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00765696784073507,45,9.5151879227651,4.62,3.29,6.13,1.417,9.5151879227651,4.62,4.48,4.74,0.127,9.5151879227651,4.62,3.26,5.89,1.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2016,6,2016-06-01,"no covid period",0.0110525420846795,NA,0.00425097772487672,0.00220783043862231,NA,NA,0.0110525420846795,65,15.3607695689215,4.1,3.16,5.15,0.997,15.3607695689215,4.1,4,4.18,0.089,15.3607695689215,4.1,3.12,5.14,1.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00425097772487672,25,8.89511235900637,2.7,1.75,3.8,1.026,8.89511235900637,2.7,2.62,2.77,0.075,8.89511235900637,2.7,1.69,3.82,1.068,0.00220783043862231,15,4.90442775111179,3.06,1.6,4.71,1.554,4.90442775111179,3.06,2.96,3.12,0.078,4.90442775111179,3.06,1.63,4.69,1.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2016,7,2016-07-01,"no covid period",0.0144410465511383,NA,0.00679578661230037,NA,NA,NA,0.0144410465511383,85,15.9808242481327,5.32,4.21,6.5,1.142,15.9808242481327,5.32,5.19,5.42,0.114,15.9808242481327,5.32,4.25,6.38,1.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00679578661230037,40,9.09182694110569,4.29,3.05,5.62,1.282,9.09182694110569,4.29,4.17,4.4,0.117,9.09182694110569,4.29,2.97,5.72,1.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2016,8,2016-08-01,"no covid period",0.0145051194539249,NA,0.00511945392491468,0.00145645208272648,NA,NA,0.0145051194539249,85,15.3729115691728,5.66,4.44,6.83,1.191,15.3729115691728,5.66,5.53,5.78,0.127,15.3729115691728,5.66,4.49,6.83,1.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00511945392491468,30,8.72999121384526,3.55,2.26,4.87,1.303,8.72999121384526,3.55,3.44,3.65,0.103,8.72999121384526,3.55,2.41,4.81,1.203,0.00145645208272648,10,5.13785114912557,2.34,1.13,3.78,1.325,5.13785114912557,2.34,2.28,2.4,0.058,5.13785114912557,2.34,1.17,3.7,1.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2016,9,2016-09-01,"no covid period",0.0110883657454794,NA,0.0042647560559536,0.00217170985956276,NA,NA,0.0110883657454794,65,15.1330302051674,4.16,3.2,5.14,0.968,15.1330302051674,4.16,4.06,4.24,0.091,15.1330302051674,4.16,3.17,5.22,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042647560559536,25,8.81991172301314,2.83,1.78,4,1.108,8.81991172301314,2.83,2.75,2.91,0.078,8.81991172301314,2.83,1.7,3.97,1.135,0.00217170985956276,15,5.14052334520746,2.53,1.34,3.94,1.302,5.14052334520746,2.53,2.44,2.57,0.065,5.14052334520746,2.53,1.36,4.09,1.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016,10,2016-10-01,"no covid period",0.0153139356814701,NA,0.00510464522715671,0.00215455328928469,NA,NA,0.0153139356814701,90,16.9162877907065,5.38,4.27,6.6,1.162,16.9162877907065,5.38,5.25,5.48,0.113,16.9162877907065,5.38,4.32,6.5,1.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00510464522715671,30,9.74543936106337,3.18,2.09,4.42,1.162,9.74543936106337,3.18,3.09,3.27,0.09,9.74543936106337,3.18,2.15,4.41,1.13,0.00215455328928469,15,5.53899504678714,3.07,1.74,4.66,1.457,5.53899504678714,3.07,2.98,3.13,0.075,5.53899504678714,3.07,1.62,4.51,1.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
